ID,Date,Arrest,Community Area,Latitude,Longitude
9909489,12/18/2014 18:00,FALSE,7,41.92886499,-87.66975218
9542041,3/12/2014 22:00,FALSE,31,41.85501475,-87.64641461
9540939,3/21/2014 14:30,FALSE,33,41.8663503,-87.62147162
9532226,3/12/2014 21:00,FALSE,58,41.82291266,-87.68958032
9530441,3/13/2014 17:30,FALSE,31,41.8581878,-87.64744887
9513840,2/2/2014 20:14,FALSE,22,41.93076686,-87.68660805
9489474,2/7/2014 6:00,FALSE,38,41.80874818,-87.61004196
9465591,1/10/2014 7:00,FALSE,7,41.91187652,-87.65212073
9454370,1/3/2014 16:00,FALSE,8,41.90318436,-87.63728072
9705808,6/1/2014 13:00,FALSE,66,41.76434737,-87.68431231
9703524,7/8/2014 0:01,FALSE,11,41.9847277,-87.77582631
9702381,7/20/2014 10:22,FALSE,32,41.86745419,-87.63229356
9701417,7/18/2014 17:00,FALSE,58,41.80651728,-87.68451408
9700073,7/18/2014 2:30,FALSE,48,41.73476519,-87.59159375
9699748,7/10/2014 9:00,FALSE,16,41.95769136,-87.70157149
9698687,7/16/2014 23:30,FALSE,38,41.80387738,-87.6122717
9697195,7/15/2014 10:30,FALSE,52,41.71156648,-87.53374441
9696488,7/14/2014 21:30,FALSE,15,41.96582349,-87.76921441
9694591,7/13/2014 21:00,FALSE,7,41.92201986,-87.64122086
9693139,7/12/2014 21:00,FALSE,14,41.97515566,-87.73700496
9693104,7/11/2014 18:00,FALSE,21,41.9336325,-87.69014769
9688816,7/9/2014 23:00,FALSE,56,41.79256687,-87.77801168
9689834,7/9/2014 20:30,FALSE,60,41.83204154,-87.65085069
9688017,7/7/2014 19:30,FALSE,24,41.89243853,-87.67221183
9686675,7/7/2014 23:00,FALSE,24,41.89420595,-87.66323908
9685868,7/5/2014 12:00,FALSE,24,41.89580531,-87.67692629
9680641,7/3/2014 21:00,FALSE,25,41.87768208,-87.75443583
9678558,6/21/2014 17:00,FALSE,54,41.65166576,-87.61737838
9678477,6/29/2014 18:00,FALSE,3,41.96381976,-87.66390366
9674254,6/29/2014 21:00,FALSE,58,41.81243337,-87.69815886
9672803,6/28/2014 1:00,FALSE,77,41.99300514,-87.65562645
9672541,6/27/2014 20:00,FALSE,1,42.00895663,-87.66915959
9672348,6/23/2014 22:00,FALSE,28,41.87898071,-87.65062686
9671834,6/25/2014 17:00,FALSE,8,41.90854325,-87.63673022
9669909,6/25/2014 17:00,FALSE,16,41.95458492,-87.70207275
9668900,6/24/2014 9:30,FALSE,22,41.91552517,-87.72058594
9667426,6/24/2014 6:00,FALSE,19,41.91745673,-87.78510913
9667452,6/24/2014 8:45,FALSE,24,41.89796355,-87.65541647
9665661,6/23/2014 5:30,FALSE,29,41.85779548,-87.71871827
9662956,6/20/2014 20:00,FALSE,6,41.93556193,-87.64935485
9662795,6/20/2014 21:00,FALSE,6,41.93254428,-87.66631458
9661372,6/19/2014 7:00,FALSE,3,41.97541211,-87.65191847
9658600,6/18/2014 11:30,FALSE,28,41.88894426,-87.64178001
9655310,6/16/2014 11:50,FALSE,28,41.87662602,-87.64234611
